CustomerID,Name,Age,Gender,City,PurchaseAmount,SignupDate,Rating
1,Customer_1,56.0,male,,1416.5,2023-01-01,
2,Customer_2,69.0,Male,Delhi,208.71,2023-01-02,4.0
3,Customer_3,46.0,Male,MUMBAI,2541.01,2023-01-03,5.0
4,Customer_4,32.0,male,Bangalore,2433.43,2023-01-04,
5,Customer_5,60.0,male,Hyderabad,4173.72,2023-01-05,1.0
6,Customer_6,25.0,male,,1608.11,2023-01-06,5.0
7,Customer_7,38.0,FEMALE,Hyderabad,4100.29,2023-01-07,
8,Customer_8,56.0,F,Bangalore,4843.07,2023-01-08,3.0
9,Customer_9,36.0,Male,Mumbai,533.2,2023-01-09,3.0
10,Customer_10,40.0,FEMALE,Bangalore,3979.91,2023-01-10,3.0
11,Customer_11,28.0,male,Chennai,,2023-01-11,
12,Customer_12,28.0,Male,Bangalore,2452.23,2023-01-12,
13,Customer_13,41.0,FEMALE,Bangalore,2160.63,2023-01-13,5.0
14,Customer_14,53.0,F,Chennai,3944.87,2023-01-14,1.0
15,Customer_15,57.0,FEMALE,MUMBAI,,2023-01-15,5.0
16,Customer_16,41.0,F,,4044.72,2023-01-16,5.0
17,Customer_17,20.0,male,Bangalore,4525.44,2023-01-17,
18,Customer_18,39.0,F,Chennai,3124.59,2023-01-18,3.0
19,Customer_19,19.0,Male,Delhi,4904.27,2023-01-19,2.0
20,Customer_20,41.0,male,Mumbai,3079.63,2023-01-20,1.0
21,Customer_21,61.0,Male,Mumbai,3219.56,2023-01-21,
22,Customer_22,47.0,M,Bangalore,2818.6,2023-01-22,3.0
23,Customer_23,55.0,Female,MUMBAI,545.91,2023-01-23,2.0
24,Customer_24,19.0,F,,3659.35,2023-01-24,2.0
25,Customer_25,38.0,Female,Delhi,2782.49,2023-01-25,
26,Customer_26,50.0,Female,Bangalore,2309.46,2023-01-26,4.0
27,Customer_27,29.0,F,Mumbai,4561.31,2023-01-27,1.0
28,Customer_28,39.0,male,MUMBAI,1560.0,2023-01-28,
29,Customer_29,61.0,M,Bangalore,2665.65,2023-01-29,
30,Customer_30,42.0,Male,Hyderabad,3518.45,2023-01-30,
31,Customer_31,66.0,FEMALE,MUMBAI,4002.71,2023-01-31,3.0
32,Customer_32,44.0,Male,Chennai,2350.8,2023-02-01,4.0
33,Customer_33,59.0,FEMALE,Hyderabad,4226.25,2023-02-02,1.0
34,Customer_34,45.0,Male,,3867.7,2023-02-03,
35,Customer_35,33.0,F,MUMBAI,424.56,2023-02-04,3.0
36,Customer_36,32.0,M,Mumbai,324.72,2023-02-05,2.0
37,Customer_37,64.0,FEMALE,bangalore,3141.95,2023-02-06,2.0
38,Customer_38,68.0,male,Hyderabad,1802.33,2023-02-07,3.0
39,Customer_39,61.0,Male,,1124.74,2023-02-08,
40,Customer_40,69.0,Male,Delhi,2940.28,2023-02-09,2.0
41,Customer_41,,FEMALE,,1773.66,2023-02-10,
42,Customer_42,54.0,male,Mumbai,2732.59,2023-02-11,1.0
43,Customer_43,68.0,male,MUMBAI,2354.58,2023-02-12,4.0
44,Customer_44,24.0,F,Bangalore,2965.35,2023-02-13,2.0
45,Customer_45,38.0,F,MUMBAI,2061.47,2023-02-14,5.0
46,Customer_46,26.0,F,Mumbai,3518.57,2023-02-15,1.0
47,Customer_47,56.0,F,Delhi,982.33,2023-02-16,1.0
48,Customer_48,35.0,F,MUMBAI,,2023-02-17,
49,Customer_49,21.0,F,Delhi,2117.14,2023-02-18,3.0
50,Customer_50,42.0,M,Hyderabad,4384.16,2023-02-19,5.0
51,Customer_51,31.0,male,,2624.66,2023-02-20,
52,Customer_52,67.0,F,Bangalore,4868.24,2023-02-21,1.0
53,Customer_53,26.0,male,Hyderabad,3049.48,2023-02-22,
54,Customer_54,43.0,male,Delhi,1196.86,2023-02-23,3.0
55,Customer_55,19.0,Female,Delhi,4126.77,2023-02-24,3.0
56,Customer_56,37.0,M,bangalore,1790.9,2023-02-25,1.0
57,Customer_57,45.0,F,bangalore,1803.33,2023-02-26,
58,Customer_58,64.0,Male,Hyderabad,,2023-02-27,2.0
59,Customer_59,24.0,FEMALE,Chennai,2788.71,2023-02-28,3.0
60,Customer_60,61.0,Male,Hyderabad,2718.68,2023-03-01,
61,Customer_61,25.0,M,bangalore,1844.36,2023-03-02,
62,Customer_62,64.0,FEMALE,Delhi,4481.66,2023-03-03,3.0
63,Customer_63,52.0,M,Mumbai,730.87,2023-03-04,4.0
64,Customer_64,31.0,male,Hyderabad,1717.49,2023-03-05,4.0
65,Customer_65,34.0,FEMALE,Delhi,1675.76,2023-03-06,5.0
66,Customer_66,53.0,male,Mumbai,552.22,2023-03-07,
67,Customer_67,67.0,Male,Mumbai,2457.61,2023-03-08,5.0
68,Customer_68,57.0,Male,bangalore,3470.15,2023-03-09,
69,Customer_69,21.0,FEMALE,Hyderabad,2607.12,2023-03-10,2.0
70,Customer_70,19.0,FEMALE,MUMBAI,869.19,2023-03-11,2.0
71,Customer_71,,F,Bangalore,1948.7,2023-03-12,1.0
72,Customer_72,59.0,M,bangalore,112.72,2023-03-13,5.0
73,Customer_73,21.0,F,bangalore,4354.68,2023-03-14,3.0
74,Customer_74,46.0,M,MUMBAI,514.13,2023-03-15,5.0
75,Customer_75,35.0,F,Bangalore,,2023-03-16,3.0
76,Customer_76,43.0,male,Delhi,4932.66,2023-03-17,4.0
77,Customer_77,61.0,FEMALE,Chennai,2729.29,2023-03-18,5.0
78,Customer_78,51.0,Male,Hyderabad,4627.8,2023-03-19,4.0
79,Customer_79,27.0,M,Chennai,1256.97,2023-03-20,2.0
80,Customer_80,53.0,M,Delhi,3823.78,2023-03-21,2.0
81,Customer_81,31.0,Male,,2703.2,2023-03-22,1.0
82,Customer_82,48.0,F,bangalore,3630.53,2023-03-23,5.0
83,Customer_83,,M,Bangalore,,2023-03-24,4.0
84,Customer_84,,male,bangalore,823.92,2023-03-25,3.0
85,Customer_85,25.0,FEMALE,Mumbai,752.27,2023-03-26,2.0
86,Customer_86,31.0,Male,bangalore,3467.11,2023-03-27,2.0
87,Customer_87,40.0,FEMALE,bangalore,4237.76,2023-03-28,3.0
88,Customer_88,57.0,M,Delhi,3773.12,2023-03-29,4.0
89,Customer_89,38.0,M,Delhi,249.31,2023-03-30,4.0
90,Customer_90,33.0,Male,Delhi,4349.35,2023-03-31,5.0
91,Customer_91,62.0,male,Chennai,1835.32,2023-04-01,5.0
92,Customer_92,35.0,Female,Mumbai,2046.1,2023-04-02,
93,Customer_93,64.0,Male,,613.86,2023-04-03,
94,Customer_94,41.0,Female,,3713.29,2023-04-04,1.0
95,Customer_95,,F,Delhi,,2023-04-05,2.0
96,Customer_96,42.0,Female,Bangalore,2863.43,2023-04-06,
97,Customer_97,62.0,male,Chennai,4219.48,2023-04-07,4.0
98,Customer_98,58.0,F,MUMBAI,537.1,2023-04-08,3.0
99,Customer_99,46.0,Female,Bangalore,2723.14,2023-04-09,4.0
100,Customer_100,32.0,F,,1242.76,2023-04-10,2.0
101,Customer_101,62.0,Female,Hyderabad,1780.34,2023-04-11,
102,Customer_102,18.0,male,Bangalore,,2023-04-12,4.0
103,Customer_103,,Female,Delhi,1840.01,2023-04-13,
104,Customer_104,24.0,Female,MUMBAI,3279.23,2023-04-14,2.0
105,Customer_105,26.0,Female,MUMBAI,2449.95,2023-04-15,
106,Customer_106,41.0,Male,,2962.58,2023-04-16,3.0
107,Customer_107,18.0,Male,,3710.43,2023-04-17,
108,Customer_108,61.0,Male,Hyderabad,2832.94,2023-04-18,1.0
109,Customer_109,25.0,male,Mumbai,2974.02,2023-04-19,2.0
110,Customer_110,,F,Delhi,2865.85,2023-04-20,3.0
111,Customer_111,28.0,M,MUMBAI,1955.99,2023-04-21,1.0
112,Customer_112,68.0,Female,Chennai,1753.49,2023-04-22,
113,Customer_113,34.0,Female,Hyderabad,4508.27,2023-04-23,1.0
114,Customer_114,25.0,male,Mumbai,3077.02,2023-04-24,2.0
115,Customer_115,52.0,Female,bangalore,1297.33,2023-04-25,5.0
116,Customer_116,,Male,bangalore,2541.41,2023-04-26,1.0
117,Customer_117,50.0,M,Mumbai,1718.71,2023-04-27,1.0
118,Customer_118,22.0,FEMALE,Hyderabad,4675.09,2023-04-28,
119,Customer_119,59.0,Female,Chennai,136.92,2023-04-29,
120,Customer_120,56.0,Male,Mumbai,1204.13,2023-04-30,3.0
121,Customer_121,,FEMALE,Delhi,1890.25,2023-05-01,
122,Customer_122,45.0,M,Delhi,2490.27,2023-05-02,4.0
123,Customer_123,24.0,FEMALE,,4269.01,2023-05-03,2.0
124,Customer_124,26.0,Male,MUMBAI,530.65,2023-05-04,2.0
125,Customer_125,25.0,F,Chennai,4048.74,2023-05-05,5.0
126,Customer_126,29.0,F,bangalore,372.7,2023-05-06,5.0
127,Customer_127,51.0,FEMALE,MUMBAI,4227.34,2023-05-07,
128,Customer_128,50.0,male,MUMBAI,353.01,2023-05-08,5.0
129,Customer_129,65.0,FEMALE,,189.39,2023-05-09,3.0
130,Customer_130,40.0,Female,Delhi,3515.11,2023-05-10,
131,Customer_131,41.0,Female,,4986.55,2023-05-11,2.0
132,Customer_132,,F,Bangalore,4493.39,2023-05-12,5.0
133,Customer_133,52.0,male,Hyderabad,,2023-05-13,2.0
134,Customer_134,61.0,Male,,4595.24,2023-05-14,
135,Customer_135,,Female,Mumbai,125.97,2023-05-15,1.0
136,Customer_136,39.0,F,Delhi,4877.83,2023-05-16,
137,Customer_137,44.0,M,MUMBAI,2504.67,2023-05-17,2.0
138,Customer_138,52.0,F,Chennai,3642.19,2023-05-18,1.0
139,Customer_139,18.0,Female,Bangalore,4122.22,2023-05-19,5.0
140,Customer_140,52.0,Female,Hyderabad,3620.44,2023-05-20,1.0
141,Customer_141,54.0,F,MUMBAI,2721.68,2023-05-21,
142,Customer_142,64.0,Male,Bangalore,2435.44,2023-05-22,2.0
143,Customer_143,31.0,FEMALE,Bangalore,4209.05,2023-05-23,4.0
144,Customer_144,20.0,Female,,1104.88,2023-05-24,5.0
145,Customer_145,18.0,F,Bangalore,4843.17,2023-05-25,2.0
146,Customer_146,22.0,F,Chennai,3583.67,2023-05-26,
147,Customer_147,43.0,male,Delhi,1077.58,2023-05-27,5.0
148,Customer_148,31.0,FEMALE,Chennai,3707.61,2023-05-28,3.0
